Sample,Sediment subsampled(g),CoreID,CoreDepth,ID2,Ct,Dct,duplication rate,raw reads,fastP filtered reads,too short reads,low complexity,low quality,GC content,Insert Size Peak,Sample2,dedupReads,age_min_(cal_BP),age_max(cal_BP),age_median_(cal_BP),age_mean_(cal_BP)
WP2-019_S19,0.24,PC014,70,LV7005367168-WP2-019,10.67,-1.33,10.183633,348.850092 M,119.527855 M,9.039327,0.010112,2.081735,45.34%,31,LV7009024866-LV7005367168-WP2-019_S19.trim.vs.fastq.gz,98161465,,,,
WP2-020_S20,0.198,PC014,96,LV7005367135-WP2-020,11.45,-0.55,20.25172,418.776974 M,155.499490 M,6.691485,0.013499,1.722288,45.44%,33,LV7009024878-LV7005367135-WP2-020_S20.trim.vs.fastq.gz,104291146,,,,
WP2-021_S21,0.217,PC014,165,LV7005367184-WP2-021,11.61,-0.39,22.077655,490.463152 M,181.381941 M,6.24596,0.039417,4.701315,45.81%,36,LV7009024890-LV7005367184-WP2-021_S21.trim.vs.fastq.gz,84508540,,,,
WP2-022_S22,0.238,PC014,220.5,LV7005367192-WP2-022,13.49,1.49,41.858,504.422208 M,177.230507 M,8.374254,0.045774,2.32168,46.44%,31,LV7009024902-LV7005367192-WP2-022_S22.trim.vs.fastq.gz,63189561,,,,
WP2-023_S23,0.211,PC014,270,LV7005367200-WP2-023,13.85,1.85,47.846248,381.540200 M,139.191154 M,7.204366,0.048516,2.733874,43.66%,34,LV7009024914-LV7005367200-WP2-023_S23.trim.vs.fastq.gz,39509801,,,,
WP2-024_S24,0.238,PC014,329,LV7005367208-WP2-024,16.1,4.1,45.753125,86.930290 M,28.780335 M,11.489556,0.109808,6.227141,46.49%,0,LV7009024926-LV7005367208-WP2-024_S24.trim.vs.fastq.gz,7617559,,,,
WP2-025_S25,0.202,PC014,405,LV7005367169-WP2-025,12.49,0.49,22.384921,384.178758 M,132.343592 M,6.883804,0.066644,5.220927,46.65%,34,LV7009024829-LV7005367169-WP2-025_S25.trim.vs.fastq.gz,76299814,,,,
WP2-026_S26,0.219,PC014,468,LV7005367177-WP2-026,12.76,0.76,31.625888,444.289560 M,151.905773 M,8.522379,0.09078,5.600043,46.35%,0,LV7009024853-LV7005367177-WP2-026_S26.trim.vs.fastq.gz,75057335,,,,
WP2-027_S48,0.221,PC014,525,LV7005367185-WP2-027,17.09,5.09,61.702029,182.836462 M,57.665955 M,13.697196,0.118523,5.925195,49.47%,0,LV7009024923-LV7005367185-WP2-027_S48.trim.vs.fastq.gz,6383975,,,,
WP2-028_S28,0.227,PC014,591,LV7005367193-WP2-028,12.08,0.08,21.316033,501.226818 M,181.504798 M,6.247788,0.044378,3.552257,47.76%,34,LV7009024877-LV7005367193-WP2-028_S28.trim.vs.fastq.gz,112531123,,,,
WP2-029_S29,0.195,PC014,645,LV7005367201-WP2-029,13.25,1.25,20.233495,414.638542 M,142.919673 M,9.519843,0.093331,5.070847,45.91%,0,LV7009024889-LV7005367201-WP2-029_S29.trim.vs.fastq.gz,63121177,,,,
WP2-030_S30,0.19,PC014,708,LV7005367209-WP2-030,13.67,1.67,31.903461,394.401336 M,132.141779 M,9.356801,0.159689,5.225161,46.45%,31,LV7009024901-LV7005367209-WP2-030_S30.trim.vs.fastq.gz,56546388,,,,
WP2-031_S31,0.225,GC017,2.5,LV7005367170-WP2-031,9.14,-2.86,6.261214,406.947780 M,126.093036 M,9.401248,0.033301,10.882513,50.54%,0,LV7009024913-LV7005367170-WP2-031_S31.trim.vs.fastq.gz,112522191,,,,
WP2-032_S32,0.208,GC017,22,LV7005367178-WP2-032,10.16,-1.84,5.904027,280.507054 M,90.125458 M,9.592974,0.022416,6.537031,50.03%,31,LV7009024925-LV7005367178-WP2-032_S32.trim.vs.fastq.gz,78320060,,,,
WP2-033_S33,0.209,GC017,31.5,LV7005367186-WP2-033,11,-1,10.856109,383.386078 M,129.076361 M,8.814093,0.007123,2.298247,48.11%,31,LV7009024828-LV7005367186-WP2-033_S33.trim.vs.fastq.gz,101898888,,,,
WP2-034_S34,0.245,GC017,39,LV7005367194-WP2-034,10.15,-1.85,7.35087,578.360732 M,196.729267 M,9.459059,0.00669,2.589944,48.64%,31,LV7009024852-LV7005367194-WP2-034_S34.trim.vs.fastq.gz,158773425,,,,
WP2-035_S35,0.196,GC017,49,LV7005367202-WP2-035,9.8,-2.2,8.134728,504.694396 M,170.582308 M,9.690693,0.00729,1.933073,46.43%,31,LV7009024864-LV7005367202-WP2-035_S35.trim.vs.fastq.gz,141972120,,,,
WP2-036_S36,0.242,GC017,75,LV7005367210-WP2-036,9.49,-2.51,12.804212,578.387720 M,205.393702 M,7.129885,0.008468,2.106933,46.11%,31,LV7009024876-LV7005367210-WP2-036_S36.trim.vs.fastq.gz,160054592,,,,
WP2-037_S37,0.195,GC017,98,LV7005367171-WP2-037,11.61,-0.39,14.17279,339.845994 M,118.283931 M,9.190402,0.009988,1.8259,47.91%,31,LV7009024888-LV7005367171-WP2-037_S37.trim.vs.fastq.gz,87833905,,,,
WP2-038_S38,0.192,GC017,113,LV7005367179-WP2-038,12.09,0.09,26.098507,441.681828 M,156.345706 M,6.521686,0.009133,2.16084,46.98%,36,LV7009024900-LV7005367179-WP2-038_S38.trim.vs.fastq.gz,90255819,,,,
WP2-039_S39,0.192,GC017,125,LV7005367187-WP2-039,14.75,2.75,53.624417,407.952914 M,149.560963 M,7.052545,0.010693,2.17667,45.59%,34,LV7009024912-LV7005367187-WP2-039_S39.trim.vs.fastq.gz,34499877,,,,
WP2-040_S40,0.25,GC017,155,LV7005367195-WP2-040,13.41,1.41,30.172866,409.279592 M,143.521923 M,6.829415,0.02281,4.718268,46.25%,34,LV7009024924-LV7005367195-WP2-040_S40.trim.vs.fastq.gz,55757195,,,,
WP2-041_S41,0.213,GC017,173,LV7005367203-WP2-041,11.19,-0.81,16.777225,372.201596 M,130.575339 M,6.781487,0.010932,2.236839,47.85%,36,LV7009024827-LV7005367203-WP2-041_S41.trim.vs.fastq.gz,92315242,,,,
WP2-042_S42,0.201,GC017,203.5,LV7005367211-WP2-042,9.53,-2.47,18.084139,413.831072 M,160.305395 M,5.981825,0.025806,5.10413,41.02%,34,LV7009024851-LV7005367211-WP2-042_S42.trim.vs.fastq.gz,105167033,,,,
WP2-043_S43,0.225,GC017,227,LV7005367172-WP2-043,10.05,-1.95,12.66374,391.887156 M,143.327423 M,7.541498,0.02673,1.791098,48.22%,31,LV7009024863-LV7005367172-WP2-043_S43.trim.vs.fastq.gz,111460752,,,,
WP2-044_S44,0.221,GC017,248,LV7005367180-WP2-044,12.95,0.95,28.753673,405.297014 M,165.665126 M,7.382063,0.02272,2.221202,46.48%,34,LV7009024875-LV7005367180-WP2-044_S44.trim.vs.fastq.gz,83512945,,,,
WP2-045_S45,0.236,GC017,269,LV7005367188-WP2-045,12.31,0.31,27.062856,373.561652 M,135.346703 M,5.657766,0.010686,1.885309,43.63%,37,LV7009024887-LV7005367188-WP2-045_S45.trim.vs.fastq.gz,79676291,,,,
WP2-046_S46,0.207,GC017,293,LV7005367196-WP2-046,15.01,3.01,22.861359,69.389026 M,23.526672 M,11.292411,0.075029,4.7122,45.83%,32,LV7009024899-LV7005367196-WP2-046_S46.trim.vs.fastq.gz,14144074,,,,
