"","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"Acanthopagrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accipiter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholoe",0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,209,0,0,108,0,0,0,0,141,115,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0
"Acipenser",0,0,0,0,0,0,0,0,0,0,0,185,0,110,365,0,0,0,0,0,0,0,0,0,0,108,0,161,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acleris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acomys",0,0,0,0,0,0,0,0,0,0,0,280,0,140,377,0,0,0,0,0,0,0,0,0,108,122,0,231,399,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
"Acrobasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acrocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinia",0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes",0,0,0,107,0,0,0,0,0,0,102,226,0,146,235,0,0,0,0,0,103,0,0,0,106,134,0,160,836,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
"Agriphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrochola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alentia",0,0,0,0,0,0,136,111,163,199,342,666,0,116,0,0,0,0,0,130,351,242,0,0,259,176,0,154,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alitta",0,0,0,0,0,0,0,0,0,0,0,145,0,0,160,149,0,0,0,0,0,0,0,0,0,0,0,106,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloplasta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alosa",0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0
"Alsophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amblyraja",0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amblyteles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammodytes",0,563,320,528,201,372,336,647,1034,3040,2067,1711,496,1232,0,660,0,159,193,1604,533,180,0,0,1157,802,0,2063,3900,0,0,120,115,0,145,185,157,0,0,143,0,141,306,315,0
"Amphibalanus",0,0,0,0,0,0,0,0,0,0,0,127,0,103,139,0,0,0,0,0,0,0,0,0,0,114,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0
"Amphiduros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anarrhichthys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
"Andrena",0,0,0,0,0,0,0,0,0,0,0,142,0,138,141,0,0,0,0,0,0,0,0,0,0,164,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anisus",0,0,0,307,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anopheles",0,0,0,0,0,0,0,0,0,0,0,205,0,137,207,0,0,0,0,0,0,0,0,0,0,110,0,144,369,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0
"Anoplius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antechinus",0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apamea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis",0,0,0,0,0,0,0,0,0,0,0,125,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,114,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aplidium",0,0,0,101,0,101,0,128,0,0,105,189,0,136,209,128,0,0,0,0,0,0,0,0,316,366,0,600,318,0,106,142,170,119,136,131,0,0,0,0,0,537,355,0,134
"Aplysia",0,0,0,111,0,0,0,0,0,0,0,244,0,134,539,0,0,0,0,0,106,0,135,0,0,145,0,334,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus",0,0,0,0,0,0,0,0,0,0,0,0,0,134,147,0,0,0,0,0,0,0,0,0,0,118,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyrosomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvicanthis",0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ascidia",0,3058,2230,5850,3595,3290,1723,3132,3998,3347,921,6109,2006,170,0,0,267,1902,553,1300,799,1263,699,234,1930,1614,0,0,0,2986,1924,6895,5592,3709,2508,4204,1463,639,807,976,1170,102,100,0,0
"Asterias",0,188,110,242,225,358,277,435,611,1111,1740,3743,1204,3256,4667,4209,0,152,121,920,2069,1639,593,336,3519,4813,432,4473,3938,0,0,142,201,195,249,532,500,194,254,501,1879,7526,4216,496,0
"Bactrocera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Balaenoptera",0,0,0,0,0,0,0,7595,121,0,240,281,0,232,0,0,0,0,0,120,0,2923,336,0,203,208,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belonocnema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bemisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bimastos",0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biomphalaria",0,0,0,0,0,0,0,0,0,0,0,107,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boleophthalmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombina",0,0,0,118,112,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,109,0,0,0,141,147,0,0,0,0,0,0,108,100,110,0,0,0,0,0,104,171,0,149,0
"Bombus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Borostomias",0,0,0,103,0,0,0,0,0,0,0,268,0,122,0,0,0,0,0,0,105,0,0,0,0,112,0,192,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bos",0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botryllus",0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,114,0,0,0,0,0,0,0,0,122,0,0,0
"Branchellion",0,0,131,0,0,0,0,0,0,0,0,341,0,170,0,0,0,0,0,0,148,0,115,0,157,216,0,333,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Branchiostoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bugulina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caenorhabditis",0,0,0,0,0,0,0,0,0,0,0,137,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,101,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caligus",0,0,0,0,0,0,0,0,0,0,0,143,2890,0,0,158,0,0,0,0,0,0,133,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0
"Canis",0,0,0,0,0,0,0,0,0,0,0,601,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,382,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7933,0
"Capitulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0
"Carcharodon",0,114,0,0,0,133,0,0,0,110,525,0,0,0,0,0,0,0,0,146,129,441,0,0,0,111,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,119,0,0,0
"Cephus",0,0,0,0,0,0,0,0,0,0,0,124,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastoderma",0,0,0,0,0,0,0,0,0,0,171,301,0,166,0,0,0,0,0,0,479,0,0,0,112,161,0,283,200,0,0,0,0,0,0,0,0,0,0,0,231,1160,1327,0,0
"Ceratosolen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
